City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Upernavik,GL,2020-10-31 00:32:56,72.79,-56.15,19.72,96,98,4.18
117,Yulara,AU,2020-10-31 00:31:18,-25.24,130.99,73.4,17,0,16.11
118,Qui Nhon,VN,2020-10-31 00:32:56,13.77,109.23,79.79,86,73,12.41
119,Hobart,AU,2020-10-31 00:32:12,-42.88,147.33,66.99,59,20,8.05
120,Kamina,CD,2020-10-31 00:32:56,-8.74,24.99,62.82,98,98,4.61
121,Teluk Intan,MY,2020-10-31 00:32:56,4.03,101.02,78.8,88,20,2.37
122,Kralendijk,BQ,2020-10-31 00:32:56,12.15,-68.27,82.4,83,38,3.36
123,Simao,CN,2020-10-31 00:32:56,22.79,100.97,64.49,89,98,1.34
124,Aksu,CN,2020-10-31 00:32:57,41.12,80.26,38.37,70,31,2.53
125,Mahebourg,MU,2020-10-31 00:28:53,-20.41,57.7,68.0,56,40,14.99
126,Grand-Santi,GF,2020-10-31 00:32:57,4.25,-54.38,81.77,64,3,4.72
127,Lazaro Cardenas,MX,2020-10-31 00:30:01,17.96,-102.2,81.07,80,99,3.89
128,Okha,RU,2020-10-31 00:32:57,53.57,142.95,37.69,75,73,7.38
129,Henties Bay,NA,2020-10-31 00:32:57,-22.12,14.28,55.0,87,100,6.35
130,Fukue,JP,2020-10-31 00:32:57,32.69,128.84,60.8,51,20,12.75
131,Cape Town,ZA,2020-10-31 00:30:36,-33.93,18.42,57.0,62,0,20.8
132,College,US,2020-10-31 00:32:57,64.86,-147.8,14.0,78,90,1.43
133,Norman Wells,CA,2020-10-31 00:30:56,65.28,-126.83,14.0,85,90,3.36
134,Provideniya,RU,2020-10-31 00:32:57,64.38,-173.3,24.3,85,45,7.2
135,Kamenka,RU,2020-10-31 00:32:57,51.32,42.77,47.84,83,100,7.52
136,Ancud,CL,2020-10-31 00:32:57,-41.87,-73.82,55.99,71,0,5.82
137,La Roche-Sur-Yon,FR,2020-10-31 00:32:58,46.67,-1.43,51.8,93,0,5.82
138,Cayenne,GF,2020-10-31 00:30:06,4.93,-52.33,82.4,83,20,4.7
139,Les Escoumins,CA,2020-10-31 00:32:58,48.11,-69.02,28.4,74,5,26.4
140,Birjand,IR,2020-10-31 00:32:58,32.87,59.22,32.0,63,0,6.93
141,Ponta Do Sol,PT,2020-10-31 00:32:58,32.67,-17.1,68.0,77,20,12.75
142,Coquimbo,CL,2020-10-31 00:32:58,-29.95,-71.34,53.6,87,75,8.05
143,Mahibadhoo,MV,2020-10-31 00:32:58,3.78,72.97,82.49,74,24,7.67
144,Hithadhoo,MV,2020-10-31 00:28:30,-0.6,73.08,83.35,74,86,9.75
145,Sisimiut,GL,2020-10-31 00:31:06,66.94,-53.67,20.37,92,99,6.89
146,Quesnel,CA,2020-10-31 00:32:58,53.0,-122.5,42.8,76,20,2.24
147,Callaway,US,2020-10-31 00:32:58,30.15,-85.57,62.6,67,1,10.29
148,Seymchan,RU,2020-10-31 00:32:59,62.88,152.43,12.78,91,94,1.77
149,Mizan Teferi,ET,2020-10-31 00:32:59,6.98,35.58,60.1,92,94,1.77
150,Zwedru,LR,2020-10-31 00:32:59,6.07,-8.13,71.6,97,6,1.99
151,Longyearbyen,SJ,2020-10-31 00:31:46,78.22,15.64,17.6,72,40,5.82
152,Iqaluit,CA,2020-10-31 00:31:52,63.75,-68.51,12.2,78,90,8.05
153,Cidreira,BR,2020-10-31 00:28:42,-30.18,-50.21,64.44,65,82,11.18
154,Kashi,CN,2020-10-31 00:32:59,39.45,75.98,39.2,23,0,6.71
155,Namibe,AO,2020-10-31 00:32:59,-15.2,12.15,73.33,79,62,3.33
